,City,Country,Date,Latitude,Longitude,Max Temperature,Humidity,Cloudiness,Wind Speed
42,Hilo,US,1570398708,19.71,-155.08,86.0,51,1,5.82
43,Pevek,RU,1570398830,69.7,170.27,26.95,80,97,4.45
44,Tuktoyaktuk,CA,1570398831,69.44,-133.03,35.6,80,90,18.34
45,Baruun-Urt,MN,1570398450,46.68,113.28,41.93,57,100,19.28
46,Ishigaki,JP,1570398831,24.34,124.16,75.2,88,20,6.93
47,Yulara,AU,1570398832,-25.24,130.99,62.6,39,0,5.82
48,Sola,TZ,1570398476,-3.17,33.8,74.96,48,99,11.43
49,Hithadhoo,MV,1570398832,-0.6,73.08,81.31,81,100,12.84
50,Port Hardy,CA,1570398454,50.7,-127.42,50.0,93,90,8.05
51,Cape Town,ZA,1570398320,-33.93,18.42,62.01,82,75,6.93
52,Bambous Virieux,MU,1570398179,-20.34,57.76,73.99,78,20,12.75
53,Hermanus,ZA,1570398833,-34.42,19.24,60.01,92,98,1.01
54,Ahipara,NZ,1570398559,-35.17,173.16,66.0,100,8,8.37
55,Punta Alta,AR,1570398834,-27.46,-55.82,69.8,73,75,5.82
56,Cockeysville,US,1570398834,39.48,-76.65,73.99,88,40,8.05
57,San Nicolas,PH,1570398835,16.07,120.76,71.68,90,0,3.38
58,Gat,SN,1570398835,14.69,-16.54,86.0,88,67,6.93
59,Hofn,IS,1570398835,64.25,-15.21,38.38,99,100,4.76
60,Kencong,ID,1570398836,-7.78,112.24,70.12,94,100,5.68
61,Pryazha,RU,1570398836,61.69,33.62,32.0,93,99,2.24
62,Jinchang,CN,1570398589,38.52,102.19,41.5,81,100,3.62
63,Haapsalu,EE,1570398837,58.95,23.55,35.01,88,99,1.99
64,Broken Hill,AU,1570398837,-31.97,141.45,57.2,67,28,8.05
65,Byron Bay,AU,1570398837,-28.65,153.62,73.99,77,28,18.34
66,Manaure,CO,1570398838,11.78,-72.45,89.6,59,40,11.41
67,Albany,US,1570398838,42.65,-73.75,64.4,82,90,11.41
68,Katangli,RU,1570398839,51.71,143.23,39.73,87,69,12.01
69,Busselton,AU,1570398839,-33.64,115.35,48.99,72,0,10.98
70,Semey,KZ,1570398839,50.41,80.25,48.98,67,0,5.3
71,Meulaboh,ID,1570398840,4.14,96.13,78.29,84,100,9.15
72,East London,ZA,1570398336,-33.02,27.91,61.1,91,100,4.29
73,Bandarbeyla,SO,1570398699,9.49,50.81,77.48,80,8,11.18
74,Guapo,CN,1570398840,34.48,109.71,51.76,89,100,1.28
75,Ferkessedougou,CI,1570398841,9.6,-5.2,74.27,89,100,5.32
76,Ngunguru,NZ,1570398456,-35.62,174.5,64.0,83,100,1.99
77,Yumen,CN,1570398438,40.29,97.04,47.22,33,16,12.06
78,Egvekinot,RU,1570398842,66.32,-179.17,22.4,75,56,2.68
79,Coos Bay,US,1570398707,43.37,-124.22,69.01,60,1,12.75
80,Mar del Plata,AR,1570398358,-46.43,-67.52,57.35,39,100,26.15
81,Bismarck,US,1570398672,46.81,-100.78,62.6,41,20,33.33
82,Mumford,GH,1570398843,5.26,-0.76,73.52,95,16,3.38
83,Sao Filipe,CV,1570398339,14.9,-24.5,78.27,86,93,13.82
84,Calafell,ES,1570398844,41.2,1.57,73.0,46,0,6.93
85,Zeya,RU,1570398844,53.74,127.27,33.09,98,100,3.69
86,Miri,NG,1570398844,10.31,9.75,71.52,91,100,3.04
87,Sabzevar,IR,1570398844,36.21,57.68,54.13,27,17,5.95
88,Tres Passos,BR,1570398845,-27.46,-53.93,65.31,85,100,6.06
89,Castro,CL,1570398845,-42.48,-73.76,53.6,62,75,13.87
90,Kavieng,PG,1570398846,-2.57,150.8,83.18,72,73,7.2
91,Nizhniy Kuranakh,RU,1570398846,58.84,125.49,29.54,96,100,4.52
92,Sorong,ID,1570398586,-0.86,131.25,74.87,96,99,6.15
93,Canutama,BR,1570398847,-6.53,-64.38,87.74,51,87,3.42
94,Mapastepec,MX,1570398847,15.44,-92.9,84.43,69,45,4.09
95,Ekibastuz,KZ,1570398848,51.72,75.32,53.72,62,26,6.11
96,Jaumave,MX,1570398848,23.41,-99.38,95.0,36,75,6.93
97,Bubaque,GW,1570398849,11.28,-15.83,82.03,79,7,9.95
98,Chicama,PE,1570398634,-7.84,-79.15,62.6,82,90,10.29
99,Provideniya,RU,1570398849,64.42,-173.23,35.6,74,0,4.47
100,Moron,HT,1570398393,18.56,-74.26,84.28,67,34,6.62
101,Jamestown,AU,1570398738,-33.21,138.6,52.87,92,100,6.67
102,Kapaa,US,1570398794,22.08,-159.32,82.4,69,1,9.17
103,Belyy Yar,RU,1570398534,53.6,91.39,37.4,100,11,4.47
104,Kolaras,IN,1570398851,25.22,77.61,73.37,74,48,2.26
105,Tuatapere,NZ,1570398851,-46.13,167.69,48.99,85,100,3.0
106,Leningradskiy,RU,1570398852,69.38,178.42,25.01,76,57,8.97
107,Puerto Ayora,EC,1570398299,-0.74,-90.35,75.2,64,20,24.16
108,Neryungri,RU,1570398852,56.66,124.71,30.82,98,100,4.74
109,Dikson,RU,1570398852,73.51,80.55,24.68,73,100,28.36
110,Brae,GB,1570398561,60.4,-1.35,51.8,76,44,18.34
111,Sapouy,BF,1570398853,11.55,-1.77,74.9,90,99,2.77
112,Port-Gentil,GA,1570398853,-0.72,8.78,78.8,88,40,5.82
113,Grindavik,IS,1570398569,63.84,-22.43,48.2,87,75,10.29
114,Sur,OM,1570398854,22.57,59.53,81.42,67,0,12.19
115,Klaksvik,FO,1570398854,62.23,-6.59,51.8,81,100,29.97
116,Tecoanapa,MX,1570398855,16.99,-99.26,86.0,74,20,6.93
117,Georgetown,GY,1570398607,6.8,-58.16,84.2,79,20,6.93
118,Cabo San Lucas,MX,1570398407,22.89,-109.91,90.0,48,5,9.17
119,Valleyview,CA,1570398775,55.07,-117.28,58.11,39,0,13.42
120,Geraldton,CA,1570398856,49.72,-86.95,50.0,71,90,11.41
121,Mahebourg,MU,1570398857,-20.41,57.7,73.99,78,20,12.75
122,Bani,YE,1570398857,16.02,42.93,87.79,73,48,5.14
123,Bonfim,BR,1570398857,-20.33,-44.24,78.8,47,0,14.99
124,Chauk,MM,1570398858,20.89,94.82,74.13,91,0,1.79
125,Torbay,CA,1570398858,47.66,-52.73,46.0,70,20,6.93
126,Axim,GH,1570398372,4.87,-2.24,77.33,88,4,8.05
127,Tasiilaq,GL,1570398859,65.61,-37.64,42.8,87,100,7.16
128,Yuxia,CN,1570398859,34.06,108.63,57.99,100,90,2.24
129,Falam,MM,1570398860,22.91,93.68,59.5,97,67,0.85
130,Camacupa,AO,1570398860,-12.02,17.48,65.15,78,100,4.47
131,Vestmanna,FO,1570398584,62.16,-7.17,51.8,81,100,29.97
132,Abu Dhabi,AE,1570398405,24.47,54.37,89.6,52,0,5.82
133,Pisco,PE,1570398861,-13.71,-76.2,71.6,30,0,9.17
134,Bredasdorp,ZA,1570398861,-34.53,20.04,59.0,87,100,1.12
135,Port Macquarie,AU,1570398862,-31.43,152.91,70.0,100,0,3.24
136,Luderitz,NA,1570398862,-26.65,15.16,59.0,82,0,14.99
137,Port Blair,IN,1570398336,11.67,92.75,82.21,73,15,6.02
138,Heihe,RU,1570398862,50.24,127.51,44.6,52,20,6.71
139,Saint-Philippe,CA,1570398863,45.36,-73.48,60.01,72,90,14.99
140,Alihe,CN,1570398863,50.57,123.73,37.81,78,90,4.43
141,Saint George,GR,1570398435,39.45,22.34,60.8,77,75,5.12
142,Mayskiy,RU,1570398864,43.63,44.06,55.4,87,75,6.71
143,Nome,US,1570398864,30.04,-94.42,91.99,43,1,6.93
144,Faanui,PF,1570398645,-16.48,-151.75,77.44,84,100,17.94
145,Narsaq,GL,1570398868,60.91,-46.05,42.8,59,0,1.12
146,Kremasti,GR,1570398868,36.98,22.87,70.0,68,50,2.28
147,Souillac,FR,1570398575,45.6,-0.6,57.0,87,0,5.82
148,Esil,KZ,1570398869,51.96,66.41,51.41,55,0,6.78
149,Port Lincoln,AU,1570398157,-34.72,135.86,56.96,78,100,14.45
150,Half Moon Bay,US,1570398517,37.46,-122.43,86.0,19,40,1.61
151,Mehamn,NO,1570398709,71.03,27.85,42.8,75,75,9.17
152,San Cristobal,HN,1570398346,14.68,-86.92,83.17,57,65,1.54
153,Sistranda,NO,1570398870,63.73,8.83,46.0,86,75,2.24
154,Severo-Kurilsk,RU,1570398871,50.68,156.12,44.86,77,0,22.64
155,Manzil Salim,TN,1570398871,35.86,8.48,59.0,54,0,3.06
156,Tahe,CN,1570398872,52.34,124.71,30.46,80,26,6.55
157,Broome,GB,1570398872,52.47,1.45,52.0,87,75,10.29
158,Chokurdakh,RU,1570398872,70.62,147.9,19.61,83,100,5.12
159,Victoria,BN,1570398873,5.28,115.24,78.8,88,75,5.46
160,Cesvaine,LV,1570398873,56.97,26.31,31.38,92,82,3.76
161,Tucupita,VE,1570398873,9.06,-62.05,81.64,79,100,7.18
162,Zheleznodorozhnyy,RU,1570398871,55.75,38.0,34.0,96,90,17.9
163,Nemuro,JP,1570398874,43.32,145.57,55.36,62,0,12.37
164,Athabasca,CA,1570398836,54.72,-113.29,55.63,46,0,11.12
165,Kodiak,US,1570398875,39.95,-94.76,69.8,37,1,9.17
166,Kutum,SD,1570398875,14.2,24.66,76.9,56,1,3.36
167,Kaitangata,NZ,1570398879,-46.28,169.85,51.01,67,86,3.0
168,Newberry,US,1570398706,46.35,-85.51,64.4,48,40,19.46
169,Luebo,CD,1570398879,-5.35,21.42,72.17,92,100,0.47
170,Wagar,US,1570398880,31.44,-87.99,87.01,56,37,1.99
171,Airai,TL,1570398880,-8.93,125.41,68.68,63,0,3.11
172,Alta Floresta,BR,1570398880,-9.87,-56.08,87.8,62,20,2.24
173,Saskylakh,RU,1570398881,71.97,114.09,18.71,97,85,0.45
174,Upernavik,GL,1570398881,72.79,-56.15,31.54,72,87,7.47
175,Hobyo,SO,1570398882,5.35,48.53,80.56,69,100,17.45
176,Lebu,ET,1570398882,8.96,38.73,59.0,77,75,4.7
177,Mayo,CA,1570398883,63.59,-135.9,32.0,33,40,2.53
178,Cidreira,BR,1570398883,-30.17,-50.22,61.85,80,100,7.76
179,Juba,EE,1570398883,57.82,26.93,33.8,96,90,4.7
180,Klyuchi,RU,1570398884,52.25,79.17,54.42,66,0,6.26
181,Puerto Carreno,CO,1570398860,6.19,-67.49,93.2,44,20,3.42
182,Shizunai,JP,1570398884,42.33,142.37,55.75,75,100,14.18
183,Hamilton,CA,1570398601,43.26,-79.87,70.0,72,75,13.87
184,Khatanga,RU,1570398885,71.98,102.47,19.93,95,3,7.94
185,Kavaratti,IN,1570398885,10.57,72.64,82.39,72,71,4.21
186,Padang,ID,1570398432,-0.92,100.36,77.93,85,94,15.84
187,Sumbe,AO,1570398886,-11.2,13.84,72.82,92,100,11.81
188,Borujerd,IR,1570398887,33.89,48.76,69.8,26,2,1.12
189,Freetown,BS,1570398887,26.61,-78.36,77.0,94,75,8.05
190,Nalut,LY,1570398431,31.86,10.98,71.27,31,54,8.19
191,Peniche,PT,1570398888,39.36,-9.38,64.99,93,40,5.82
192,Batagay-Alyta,RU,1570398625,67.8,130.41,8.3,95,92,0.31
193,Qasigiannguit,GL,1570398888,68.82,-51.19,35.6,80,100,10.29
194,Mogadishu,SO,1570398889,2.04,45.34,78.05,82,21,12.06
195,Sosnovka,RU,1570398889,53.23,41.37,37.64,88,100,11.3
196,Romanovo,RU,1570398889,56.49,40.39,32.87,99,100,15.39
197,Sorland,NO,1570398890,67.67,12.69,45.8,76,100,13.65
198,Eureka,US,1570398890,40.8,-124.16,75.0,46,1,12.75
199,Taiyuan,CN,1570398890,37.86,112.56,51.8,87,20,2.24
200,Simbahan,PH,1570398891,6.3,120.58,82.7,68,49,1.41
201,Norman Wells,CA,1570398131,65.28,-126.83,39.2,55,20,11.41
202,Sumisip,PH,1570398892,12.51,124.37,81.35,78,1,10.09
203,Atchison,US,1570398892,39.56,-95.12,66.99,48,75,10.29
204,Acapulco,MX,1570398893,16.86,-99.88,86.0,74,20,6.93
205,Zhigansk,RU,1570398602,66.77,123.37,27.13,97,100,6.26
206,San Patricio,PY,1570398477,-26.98,-56.83,71.36,71,49,5.39
207,Muli,CN,1570398894,28.08,109.56,55.34,75,8,6.98
208,Chernyshevskiy,RU,1570398894,63.01,112.47,28.66,95,100,9.19
209,Porto Belo,BR,1570398894,-27.15,-48.54,66.2,93,90,3.36
210,Konskie,PL,1570398652,51.19,20.41,37.0,100,0,0.74
211,Longyearbyen,NO,1570398895,78.22,15.63,32.0,89,75,4.7
212,Cortes,PH,1570398895,9.28,126.19,80.05,79,19,3.58
213,Uige,AO,1570398899,-7.61,15.06,72.44,83,0,2.21
214,Kaeo,NZ,1570398899,-35.1,173.78,66.0,100,6,4.99
215,Deep River,CA,1570398899,46.1,-77.49,64.4,77,20,8.03
216,Genhe,CN,1570398900,50.78,121.52,28.93,73,100,4.92
217,Iranshahr,IR,1570398900,27.21,60.69,75.2,78,0,6.93
218,Chuy,UY,1570398901,-33.69,-53.46,56.83,77,0,7.83
219,Melo,UY,1570398901,-32.37,-54.17,59.87,79,58,5.77
220,Iquitos,PE,1570398901,-3.75,-73.25,75.2,83,75,12.75
221,Kaniv,UA,1570398902,49.76,31.46,41.6,73,96,5.99
222,Purnia,IN,1570398902,25.78,87.47,77.82,81,4,3.09
223,Katsuura,JP,1570398487,33.93,134.5,60.8,93,20,5.82
224,Agua Verde,MX,1570398903,22.89,-105.97,89.6,62,20,12.75
225,Atar,MR,1570398903,20.52,-13.05,97.46,8,0,11.92
226,Tura,RU,1570398904,64.27,100.22,28.95,70,100,3.6
227,Zyryanovsk,KZ,1570398904,49.74,84.27,46.36,47,0,4.74
228,Nanortalik,GL,1570398886,60.14,-45.24,39.77,81,0,1.86
229,Arraial do Cabo,BR,1570398374,-22.97,-42.02,75.2,83,0,6.93
230,Carthage,US,1570398905,32.16,-94.34,93.0,49,40,4.7
231,Emerald,AU,1570398287,-23.53,148.16,70.0,49,0,5.82
232,Samarai,PG,1570398906,-10.62,150.67,74.38,92,90,6.06
233,Coihaique,CL,1570398906,-45.58,-72.07,50.0,61,75,6.93
234,Saint-Leu,RE,1570398515,-21.15,55.28,75.2,73,0,9.17
235,Ponta do Sol,BR,1570398401,-20.63,-46.0,76.6,50,69,3.96
236,Coquimbo,CL,1570398884,-29.95,-71.34,62.6,63,0,13.87
237,Pangnirtung,CA,1570398907,66.15,-65.72,24.0,95,100,4.61
238,Aklavik,CA,1570398410,68.22,-135.01,35.6,59,75,10.29
239,Biloela,AU,1570398907,-24.4,150.51,66.95,67,0,2.89
240,Verkhnevilyuysk,RU,1570398908,63.45,120.31,33.49,97,100,6.24
241,Cayenne,GF,1570398908,4.94,-52.33,80.6,88,0,6.8
242,Inhambane,MZ,1570398909,-23.87,35.38,66.16,96,1,4.79
243,Talara,PE,1570398909,-4.58,-81.27,62.6,290,0,14.99
244,Dukat,AL,1570398909,40.25,19.57,62.52,70,72,5.41
245,Cap-aux-Meules,CA,1570398910,47.38,-61.86,51.8,71,90,8.05
246,Mount Gambier,AU,1570398527,-37.83,140.78,44.6,100,40,8.05
247,Puerto Escondido,MX,1570398910,15.86,-97.07,87.8,62,75,4.25
248,Nouadhibou,MR,1570398910,20.93,-17.03,69.8,83,0,12.75
249,Asyut,EG,1570398911,27.18,31.19,80.6,39,0,11.41
250,Ribeira Grande,PT,1570398153,38.52,-28.7,72.13,89,98,19.82
251,Atambua,ID,1570398911,-9.11,124.89,76.15,74,0,7.56
252,Esso,RU,1570398912,55.93,158.7,23.39,94,100,39.66
253,Maniitsoq,GL,1570398276,65.42,-52.9,35.95,72,0,10.56
254,Zhanakorgan,KZ,1570398912,43.91,67.25,54.91,49,0,3.4
255,Chapais,CA,1570398890,49.78,-74.86,48.2,93,90,17.22
256,Clemson,US,1570398913,34.69,-82.84,78.8,64,1,4.7
257,Maragogi,BR,1570398913,-9.01,-35.22,71.59,86,0,6.15
258,Sao Jose da Coroa Grande,BR,1570398913,-8.9,-35.15,71.59,86,0,6.15
259,Parabel,RU,1570398914,58.71,81.5,47.53,92,36,9.19
260,Srednekolymsk,RU,1570398914,67.46,153.71,11.51,87,0,5.84
261,Katherine,AU,1570398889,-14.47,132.26,71.6,53,0,3.89
262,Ambanja,MG,1570398915,-13.68,48.45,79.03,74,99,2.89
263,Bonavista,CA,1570398915,48.65,-53.11,42.01,76,33,3.0
264,Agua Dulce,MX,1570398915,18.14,-94.15,84.2,74,90,17.22
265,High Level,CA,1570398915,58.52,-117.13,53.6,50,75,10.29
266,Homer,US,1570398916,59.64,-151.54,48.0,56,1,19.46
267,Nioro,GM,1570398916,13.79,-15.05,83.89,67,70,15.05
268,Tiksi,RU,1570398917,71.64,128.87,21.08,94,94,4.14
269,Alofi,NU,1570398917,-19.06,-169.92,77.0,61,100,14.99
270,Dingle,PH,1570398917,11.0,122.67,74.47,92,49,7.11
271,Daura,NG,1570398918,13.04,8.32,86.48,47,64,3.6
272,Kahului,US,1570398623,20.89,-156.47,86.0,58,20,11.41
273,Shingu,JP,1570398918,33.72,135.99,55.84,87,0,5.14
274,Faya,SA,1570398395,18.39,42.45,66.2,88,0,3.09
275,Hokitika,NZ,1570398919,-42.72,170.96,50.8,73,100,4.99
276,Batken,KG,1570398919,40.06,70.82,50.05,51,0,1.66
277,Arlit,NE,1570398380,18.74,7.39,96.72,12,36,14.03
278,Antofagasta,CL,1570398920,-23.65,-70.4,59.0,72,75,9.17
279,Rawson,AR,1570398920,-43.3,-65.11,73.4,25,75,23.04
280,Clyde River,CA,1570398208,70.47,-68.59,28.4,74,40,6.93
281,Narbonne,FR,1570398921,43.18,3.0,64.4,48,0,14.99
282,Abbeville,FR,1570398921,50.11,1.83,59.0,77,90,24.16
283,Ucluelet,CA,1570398870,48.94,-125.55,55.99,87,90,5.82
284,Praia,BR,1570398883,-20.25,-43.81,78.8,47,0,14.99
285,Green River,US,1570398922,41.53,-109.47,57.0,25,1,10.29
286,Madang,CN,1570398922,35.32,102.79,34.12,95,100,1.59
287,Novoasbest,RU,1570398923,57.74,60.29,43.58,75,84,3.76
288,Humaita,AR,1570398923,-24.93,-65.37,73.4,33,20,14.99
289,Zharkent,KZ,1570398924,44.17,80.0,44.59,57,16,3.18
290,Touros,BR,1570398486,-5.2,-35.46,77.0,78,20,11.41
291,Jeremie,HT,1570398924,18.65,-74.12,84.28,67,34,6.62
292,Saint-Joseph,FR,1570398925,43.56,6.97,69.01,87,0,3.36
293,Sangar,RU,1570398542,63.92,127.47,28.57,62,98,11.86
294,Lagoa,PT,1570398351,37.14,-8.45,71.01,64,0,8.05
295,Minab,IR,1570398926,27.15,57.07,82.4,83,40,4.7
296,Biak,ID,1570398926,-0.91,122.88,62.84,97,98,4.12
297,Dekar,BW,1570398926,-21.53,21.93,73.34,17,0,8.84
298,Ciudad Bolivar,VE,1570398926,8.12,-63.55,91.32,52,26,6.87
299,Civita Castellana,IT,1570398927,42.3,12.41,64.99,93,0,3.36
300,San Francisco,CO,1570398396,1.17,-76.88,68.0,68,40,9.17
301,Westport,US,1570398927,41.14,-73.36,70.0,77,90,16.11
302,Codrington,AU,1570398928,-28.95,153.24,71.01,93,1,6.93
303,Tazovskiy,RU,1570398267,67.47,78.7,34.12,80,17,21.97
304,Chulym,RU,1570398929,55.09,80.97,49.99,81,0,3.85
305,Kinloss,GB,1570398929,57.63,-3.57,52.0,81,20,6.93
306,Camacha,PT,1570398631,33.08,-16.33,73.4,78,75,8.05
307,Linjiang,CN,1570398760,41.81,126.91,38.54,94,100,2.55
308,Marawi,PH,1570398322,8.0,124.29,69.41,92,31,2.57
309,Saint Anthony,US,1570398477,43.97,-111.68,55.0,39,1,6.93
310,Riyadh,SA,1570398739,24.63,46.72,86.0,30,0,2.24
311,Wukari,NG,1570398931,7.87,9.78,75.53,90,100,4.21
312,Osa,RU,1570398931,57.28,55.46,45.02,71,100,7.14
313,Mons,BE,1570398796,50.45,3.95,57.0,93,75,6.93
314,Malindi,KE,1570398932,-3.22,40.12,74.06,88,22,6.8
315,Jatai,IN,1570398933,28.97,76.18,75.39,48,77,5.28
316,Gemena,CD,1570398933,3.25,19.78,71.14,89,30,1.28
317,Tsabong,BW,1570398791,-26.02,22.4,80.59,26,100,15.99
318,San Vicente,EC,1570398486,-0.59,-80.41,75.2,83,40,11.41
319,Betong,MY,1570398934,5.77,101.07,68.21,96,64,1.52
320,Cherskiy,RU,1570398934,68.75,161.3,15.16,84,0,5.93
321,Jiazi,CN,1570398935,19.61,110.49,75.2,100,75,6.71
322,Novochernorechenskiy,RU,1570398935,56.27,91.08,50.17,93,99,6.8
323,Buchanan,LR,1570398795,5.88,-10.05,77.0,94,75,11.95
324,Juneau,US,1570398936,58.3,-134.42,48.2,81,90,10.29
325,Namatanai,PG,1570398696,-3.66,152.44,79.12,86,95,11.23
326,Beeville,US,1570398936,28.4,-97.75,97.0,41,0,5.01
327,Mankera,NG,1570398937,13.01,5.07,82.27,66,17,10.2
328,Lae,PG,1570398937,-6.72,146.98,75.2,88,90,0.49
329,Grand Gaube,MU,1570398937,-20.01,57.66,73.99,78,20,12.75
330,Dali,CN,1570398780,34.79,109.94,49.72,92,55,3.02
331,College,US,1570398406,64.86,-147.8,35.6,86,90,5.82
332,Lompoc,US,1570398938,34.64,-120.46,91.99,17,1,13.87
333,Avarua,CK,1570398877,-21.21,-159.78,71.6,53,100,8.05
334,Bolshevik,BY,1570398939,54.01,27.57,33.8,86,75,2.24
335,Caravelas,BR,1570398765,-17.73,-39.27,75.61,80,0,11.95
336,Kodinar,IN,1570398939,20.79,70.7,75.23,86,0,7.81
337,Papetoai,PF,1570398940,-17.5,-149.87,82.4,69,75,9.17
338,Rio Grande,BR,1570398494,-32.03,-52.1,62.6,77,20,10.29
339,Roald,NO,1570398757,62.58,6.12,39.99,47,0,1.12
340,Dunedin,NZ,1570398941,-45.87,170.5,45.71,74,64,2.39
341,Ponta Delgada,PT,1570398204,37.73,-25.67,73.4,94,75,12.75
342,Ossora,RU,1570398941,59.24,163.07,38.9,99,100,10.56
343,Bilma,NE,1570398942,18.69,12.92,86.77,41,39,10.71
344,Jackville,CI,1570398942,5.21,-4.42,78.8,88,20,6.93
345,Chulman,RU,1570398943,56.84,124.9,30.82,98,100,4.74
346,Kurtalan,TR,1570398943,37.93,41.7,60.8,87,0,6.93
347,Mishan,CN,1570398943,45.55,131.88,37.32,69,0,4.63
348,Saint-Georges,CA,1570398829,46.12,-70.67,54.0,100,100,5.01
349,Fortuna,US,1570398944,40.6,-124.16,82.99,46,1,12.75
350,Cheremnoye,RU,1570398944,53.17,83.21,53.6,58,0,4.47
351,Russell,US,1570398945,38.9,-98.86,66.99,42,75,13.87
352,Abu Samrah,SY,1570398945,35.3,37.18,62.16,90,0,5.1
353,Kirakira,SB,1570398946,-10.46,161.92,80.45,83,45,13.13
354,Guerrero Negro,MX,1570398946,27.97,-114.04,71.05,75,0,10.85
355,Kieta,PG,1570398946,-6.22,155.63,80.97,75,94,5.19
356,Bathsheba,BB,1570398136,13.22,-59.52,86.0,70,75,16.11
357,Lavrentiya,RU,1570398898,65.58,-170.99,28.16,90,60,5.23
358,Kisangani,CD,1570398377,0.52,25.21,70.93,94,69,1.14
359,Lakes Entrance,AU,1570398835,-37.88,147.99,57.0,78,68,1.01
360,Tezu,IN,1570398947,27.93,96.16,71.07,77,86,3.18
361,Palu,ID,1570398781,-0.9,119.87,73.16,90,10,3.42
362,Dalby,AU,1570398948,-27.18,151.26,69.8,60,0,4.7
363,Bethel,US,1570398816,60.79,-161.76,42.8,75,75,9.17
364,Haines Junction,CA,1570398469,60.75,-137.51,25.58,77,100,5.82
365,Lorengau,PG,1570398949,-2.02,147.27,80.36,80,100,6.6
366,Avera,US,1570398507,33.19,-82.53,86.0,48,75,5.82
367,Oussouye,SN,1570398949,12.49,-16.54,84.2,83,20,4.7
368,Petropavlovsk-Kamchatskiy,RU,1570398950,53.05,158.65,42.8,52,40,20.13
369,Laguna,BZ,1570398950,16.17,-88.94,91.4,55,40,4.7
370,Kangasala,FI,1570398950,61.46,24.07,37.99,93,90,2.24
371,Benjamin Constant,BR,1570398951,-4.38,-70.03,91.4,52,20,5.82
372,Shirokiy,RU,1570398429,53.87,39.17,34.0,100,100,4.0
373,Losevo,RU,1570398951,51.73,38.83,37.4,86,90,11.18
374,Parrita,CR,1570398787,9.52,-84.33,75.2,83,75,5.82
375,Khuzhir,RU,1570398952,53.19,107.35,23.32,97,91,7.18
